,단속장소,X,Y,단속건수
0,서울특별시 양천구 목동 901-3,126.872374,37.5374572,48
1,서울특별시 양천구 신정동 212-1,126.866868,37.5098806,117
2,서울특별시 양천구 신정7 목동파크자이아파트 정문 ,126.855695,37.5151742,556
3,서울특별시 양천구 신정동 신정기독교 백화점 ,126.852776,37.51993246,261
4,서울특별시 양천구 신정동 311,126.857833,37.5149876,131
5,서울특별시 양천구 목2동가나안교회,126.8705496,37.54011619,31
6,서울특별시 양천구 신정동 제이월드빌,126.869528,37.5216146,53
7,서울특별시 양천구 목목동대우마이빌,126.866933,37.5495335,177
8,서울특별시 양천구 신정 목동9단지아파트,126.866468,37.518773,63
9,서울특별시 양천구 신정 목동10단지아파트,126.860296,37.5163781,107
10,서울특별시 양천구 신정동 311 목동신시가지아파트10단지,126.860296,37.5163781,53
11,서울특별시 양천구 신정동 호성약국,126.8559423,37.51965249,22
12,서울특별시 양천구 신정동 양명어린이공원,126.8545492,37.51948183,169
13,서울특별시 양천구 목동 성원아파트,126.8631719,37.54285308,92
14,서울특별시 양천구 신월동 119부동산,126.835818,37.5318525,29
15,서울특별시 양천구 신월동 위브캐슬부동산,126.8444336,37.51966776,86
16,서울특별시 양천구 신월동 두산위브아파트,126.845099,37.5193773,94
17,서울특별시 양천구 신월동 아이파크위브아파트,126.8416119,37.51704644,83
18,서울특별시 양천구 신월동 롯데캐슬아파트,126.8400952,37.523706,44
19,서울특별시 양천구 신월동 대덕빌라,126.841024,37.5150921,23
20,서울특별시 양천구 목극동아파트,126.8718874,37.53859079,22
21,서울특별시 양천구 목동 목양의교회,126.8730084,37.53847977,49
22,서울특별시 양천구 신정동 신트리1단지아파트,126.854566,37.51406624,79
23,서울특별시 양천구 목동 일번가빌딩,126.879165,37.5362571,348
24,서울특별시 양천구 목동 양지빌딩,126.879481,37.5363565,69
25,서울특별시 양천구 목5동우리공영주차장,126.8792287,37.53684069,202
26,서울특별시 양천구 신월3동 신월3동 우체국 ,126.828695,37.5346534,60
27,서울특별시 양천구 목5동국민은행공영주차장,126.8692331,37.5222606,68
28,서울특별시 양천구 신월6동 신곡시장(백십자약국) ,126.8428471,37.51874024,299
29,서울특별시 양천구 신정4동 진명여고 ,126.8650214,37.52419818,145
30,서울특별시 양천구 신정4동 홍익병원 ,126.8635331,37.52862207,159
31,서울특별시 양천구 신정동 태평양약국 ,126.855775,37.52141534,197
32,서울특별시 양천구 신정7 목동제일교회 ,126.855695,37.5151742,586
33,서울특별시 양천구 신정동 양목초교,126.861719,37.5234436,30
34,서울특별시 양천구 신정동 삼천리아파트,126.863698,37.5241848,30
35,서울특별시 양천구 신정동 문창오피스텔,126.864343,37.5239422,43
36,서울특별시 양천구 신정동 댓골마을,126.836399,37.50696647,406
37,서울특별시 양천구 신정동 양천중앙도서관,126.8338816,37.51383742,31
38,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047,59
39,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087,48
40,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776,72
41,서울특별시 양천구 목동 7단지,126.8675925,37.52781499,38
42,서울특별시 양천구 신정동 목장교회,126.857384,37.52753423,31
43,서울특별시 양천구 신월동 디아이빌,126.8285365,37.52345084,73
44,서울특별시 양천구 목동 KB,126.8663038,37.53930436,207
45,서울특별시 양천구 신월동 태양자동문,126.8401875,37.52639126,28
46,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937,64
47,서울특별시 양천구 신월동 행복부동산,126.841519,37.51463313,81
48,서울특별시 양천구 신월동 신길운수,126.8382576,37.52961396,414
49,서울특별시 양천구 목동 법안정사,126.8784353,37.53566845,22
50,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264,153
51,서울특별시 양천구 목동 41타워,126.874504,37.5360269,26
52,서울특별시 양천구 신월동 한백리츠빌,126.831214,37.53460308,50
53,서울특별시 양천구 신정동 삼정빌딩,126.853972,37.5170642,21
54,서울특별시 양천구 신정 1동단지어린이공원,126.855695,37.5151742,660
55,서울특별시 양천구 신월동 263,126.828964,37.5358071,26
56,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145,383
57,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471,159
58,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293,277
59,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219,67
60,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716,80
61,서울특별시 양천구 신월동 119공인중개사사무소,126.835818,37.5318525,35
62,서울특별시 양천구 신정동 제이월드,126.860333,37.5208561,157
63,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393,49
64,서울특별시 양천구 신정동 양천공원,126.8682825,37.51816754,27
65,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015,53
66,서울특별시 양천구 신월동 보람더하임,126.8375704,37.52507481,75
67,서울특별시 양천구 신월동 신세계부동산,126.8324214,37.5325953,29
68,서울특별시 양천구 신월동 강서초등학교,126.8409412,37.52263714,38
69,서울특별시 양천구 신정동 통합관제센터,126.84144036910035,37.51147278889875,23
70,서울특별시 양천구 목목동5단지아파트,126.8803674,37.53447011,100
71,서울특별시 양천구 목동 현대파리지앙,126.8799288,37.53674086,30
72,서울특별시 양천구 목동 1001안경,126.874504,37.5360269,44
73,서울특별시 양천구 신정3 목동메디컬복합센터,126.8737257,37.54435342,167
74,서울특별시 양천구 신정 4동목동로11길 14-1,126.855695,37.5151742,28
75,서울특별시 양천구 신정동 1065,126.8613709,37.52675527,42
76,서울특별시 양천구 신정 3동로마아파트,126.855695,37.5151742,65
77,서울특별시 양천구 신정동 337-16,126.8651986,37.50789003,45
78,서울특별시 양천구 신정동 326,126.86027,37.5120803,106
79,서울특별시 양천구 신정동 325,126.861296,37.5077387,31
80,서울특별시 양천구 신정동 312,126.864023,37.5194099,124
81,서울특별시 양천구 목동 911,126.884371,37.5351902,35
82,서울특별시 양천구 신월동 630,126.84207,37.5180398,23
83,서울특별시 양천구 신정동 327,126.865117,37.5149602,27
84,서울특별시 양천구 신정 목동2차우성아파트,126.8664324,37.50793513,43
85,서울특별시 양천구 신정동 오목로 177,126.8571171,37.52545227,21
86,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722,97
87,서울특별시 양천구 신정 1동볏집삼겹살,126.855695,37.5151742,204
88,서울특별시 양천구 신정 목동우성1차아파트,126.8345058,37.50609039,38
89,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066,56
90,서울특별시 양천구 목1동406-43,126.8741778,37.52563769,26
91,서울특별시 양천구 신정동 327-2,126.866372,37.5156104,36
92,서울특별시 양천구 신월동 팝마트,126.8416981,37.52487529,33
93,서울특별시 양천구 신월동 디아이빌아파트,126.8285687,37.52343383,72
94,서울특별시 양천구 목동 우리은행 목동중앙지점,126.879481,37.5363565,27
95,서울특별시 양천구 신월동 신대림빌라,126.835736,37.5280141,53
96,서울특별시 양천구 신월동 현대부동산,126.834418,37.5307603,43
97,서울특별시 양천구 신월동 천성교회,126.838597,37.5286848,153
98,서울특별시 양천구 신월동 빛고을,126.838074,37.5297833,53
99,서울특별시 양천구 신월동 강구PC,126.852259,37.5534171,25
100,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193,97
101,서울특별시 양천구 신월동 새마음교회,126.835587,37.5340776,22
102,서울특별시 양천구 신정동 밀레,126.861915,37.5278317,99
103,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002,112
104,서울특별시 양천구 신월동 코아루아파트,126.829573,37.5317084,49
105,서울특별시 양천구 목목동타운,126.874868,37.5282878,175
106,서울특별시 양천구 신정동 산공원,126.869123,37.5078108,92
107,서울특별시 양천구 신정동 하남수퍼,126.857176,37.5273845,23
108,서울특별시 양천구 신월동 캐슬프라자,126.84707,37.5234074,26
109,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353,49
110,서울특별시 양천구 목 동 912-3,126.883741,37.532829,38
111,서울특별시 양천구 목5동목동615동,126.879867,37.5360326,123
112,서울특별시 양천구 신정 목동힐스테이트아파트,126.854849,37.5198043,235
113,서울특별시 양천구 신월동 지양마을,126.826655,37.5218563,29
114,서울특별시 양천구 목목동아파트510동,126.882892,37.5332245,24
115,서울특별시 양천구 목목동아파트514동,126.882892,37.5332245,21
116,서울특별시 양천구 목1동목동동로210,126.864427,37.5273661,33
117,서울특별시 양천구 신월동 신대림주택,126.835736,37.5280141,70
118,서울특별시 양천구 신월동 머리쟁이,126.831898,37.5341715,22
119,서울특별시 양천구 신월동 해태아파트,126.843205,37.5215192,67
120,서울특별시 양천구 신정동 311-5,126.860212,37.5189819,68
121,서울특별시 양천구 신월5동월정로218,126.829701,37.5449802,26
122,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816,47
123,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412,41
124,서울특별시 양천구 신정 7동국민은행공영주차장,126.855695,37.5151742,25
125,서울특별시 양천구 신정동 영상고등학교,126.860272,37.5232887,32
126,서울특별시 양천구 신정동 양목초등학교,126.861719,37.5234436,110
127,서울특별시 양천구 신정동 남부빌딩,126.861961,37.5214887,30
128,서울특별시 양천구 목동 405-205,126.871673,37.5242298,69
129,서울특별시 양천구 목동 오목공원,126.873262,37.5279797,34
130,서울특별시 양천구 신월동 서울택시,126.82359,37.5355108,85
131,서울특별시 양천구 신월동 금융고,126.825747,37.5373881,196
132,서울특별시 양천구 신월동 샤르망,126.838903,37.528487,97
133,서울특별시 양천구 신정동 330-2,126.874011,37.5132402,34
134,서울특별시 양천구 신정동 325 목동신시가지아파트11단지,126.859492,37.5108991,32
135,서울특별시 양천구 신정동 신서초등학교,126.862313,37.5205431,24
136,서울특별시 양천구 목목동종합운동장,126.881641,37.5304843,28
137,서울특별시 양천구 신정동 1121,126.864503,37.5229063,36
138,서울특별시 양천구 신정 목동역1번출구,126.864352,37.5254109,26
139,서울특별시 양천구 목동 세신프라자,126.870592,37.5280038,103
140,서울특별시 양천구 신월동 동원데자뷰,126.845884,37.5223426,31
141,서울특별시 양천구 신월동 장수마을,126.844495,37.5215209,34
142,서울특별시 양천구 신정동 310-9,126.857095,37.5164824,173
143,서울특별시 양천구 목동 406-14,126.871965,37.5252753,22
144,서울특별시 양천구 목동 406-64,126.871964,37.5257799,23
145,서울특별시 양천구 목동 406-106,126.872055,37.5255547,24
146,서울특별시 양천구 목동 404-151,126.875024,37.5227018,22
147,서울특별시 양천구 신정 목동휘버스,126.864184,37.5244196,33
148,서울특별시 양천구 신월동 신월중,126.828963,37.5410238,51
149,서울특별시 양천구 신월동 신월중학교,126.828963,37.5410238,40
150,서울특별시 양천구 신월동 신화중,126.82961,37.540331,26
151,서울특별시 양천구 신월동 강서경찰서,126.830222,37.5397642,98
152,서울특별시 양천구 신정동 델리레스토,126.863682,37.5264192,34
153,서울특별시 양천구 신월동 귀족,126.857097,37.5270511,57
154,서울특별시 양천구 목동 현대41타워,126.87575,37.5281626,26
155,서울특별시 양천구 목동 우리은행,126.874868,37.5282878,272
156,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246,54
157,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169,243
158,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806,151
159,서울특별시 양천구 목동 벽산미라지타워,126.879482,37.535888,57
160,서울특별시 양천구 신월동 삼익로얄타운,126.826584,37.5376326,32
161,서울특별시 양천구 신월동 신화중학교,126.82961,37.540331,23
162,서울특별시 양천구 신월동 대근아트빌,126.828542,37.5371579,52
163,서울특별시 양천구 목동 914,126.879219,37.530707,33
164,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579,40
165,서울특별시 양천구 신정 목동힐스테이트,126.854849,37.5198043,451
166,서울특별시 양천구 신월동 송죽공원,126.833855,37.5394,141
167,서울특별시 양천구 신월동 머리하는날,126.839924,37.5270018,22
168,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742,43
169,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302,118
170,서울특별시 양천구 신정 목동13단지아파트,126.864031,37.51504,31
171,서울특별시 양천구 신월동 장수마을동원데자뷰,126.84585,37.5224147,32
172,서울특별시 양천구 신정동 1323 목동힐스테이트,126.854849,37.5198043,50
173,서울특별시 양천구 신정동 신정중앙로 62,126.858738,37.5267918,24
174,서울특별시 양천구 신정동 신정중앙로 85,126.861362,37.52684,21
