,단속일시,단속장소,X,Y
7,2020.1.2 7:41,서울특별시 양천구 신정동 신정기독교 백화점 ,126.852776,37.51993246
9,2020.1.2 9:53,서울특별시 양천구 목2동가나안교회,126.8705496,37.54011619
12,2020.1.2 10:06,서울특별시 양천구 신정동 KB,우편번호없음,x좌표없음
13,2020.1.2 10:07,서울특별시 양천구 신정동 한전,우편번호없음,x좌표없음
23,2020.1.2 10:29,서울특별시 양천구 신정동 오마당황소곱창,126.8541115,37.51913742
24,2020.1.2 10:30,서울특별시 양천구 신정동 호성약국,126.8559423,37.51965249
25,2020.1.2 10:30,서울특별시 양천구 신정동 양명어린이공원,126.8545492,37.51948183
26,2020.1.2 10:37,서울특별시 양천구 목동 성원아파트,126.8631719,37.54285308
28,2020.1.2 10:45,서울특별시 양천구 신월동 위브캐슬부동산,126.8444336,37.51966776
30,2020.1.2 10:46,서울특별시 양천구 신월동 아이파크위브아파트,126.8416119,37.51704644
31,2020.1.2 10:47,서울특별시 양천구 신월동 롯데캐슬아파트,126.8400952,37.523706
33,2020.1.2 10:55,서울특별시 양천구 목극동아파트,126.8718874,37.53859079
34,2020.1.2 10:58,서울특별시 양천구 목동 목양의교회,126.8730084,37.53847977
35,2020.1.2 11:05,서울특별시 양천구 신정동 신트리1단지아파트,126.854566,37.51406624
38,2020.1.2 11:25,서울특별시 양천구 목5동우리공영주차장,126.8792287,37.53684069
40,2020.1.2 11:34,서울특별시 양천구 목5동국민은행공영주차장,126.8692331,37.5222606
41,2020.1.2 11:38,서울특별시 양천구 신월6동 신곡시장(백십자약국) ,126.8428471,37.51874024
42,2020.1.2 12:23,서울특별시 양천구 신정4동 진명여고 ,126.8650214,37.52419818
43,2020.1.2 13:16,서울특별시 양천구 신정4동 홍익병원 ,126.8635331,37.52862207
44,2020.1.2 13:35,서울특별시 양천구 신정동 태평양약국 ,126.855775,37.52141534
46,2020.1.2 13:41,서울특별시 양천구 신월6동남부순환로83길 1-1,126.8405439,37.51577046
53,2020.1.2 15:51,서울특별시 양천구 신정동 댓골마을,126.836399,37.50696647
54,2020.1.2 15:53,서울특별시 양천구 신정동 GS마트,우편번호없음,x좌표없음
55,2020.1.2 15:57,서울특별시 양천구 신정동 양천중앙도서관,126.8338816,37.51383742
56,2020.1.2 16:00,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047
57,2020.1.2 16:03,서울특별시 양천구 신정동 대가,126.8590731,37.52670351
58,2020.1.2 16:04,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087
59,2020.1.2 16:04,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776
60,2020.1.2 16:05,서울특별시 양천구 목동 7단지,126.8675925,37.52781499
61,2020.1.2 16:08,서울특별시 양천구 신정동 MASTER GRADE COFFEE,126.8634298,37.52819685
62,2020.1.2 16:09,서울특별시 양천구 신월동 GS25,우편번호없음,x좌표없음
63,2020.1.2 16:11,서울특별시 양천구 신정동 목장교회,126.857384,37.52753423
64,2020.1.2 16:11,서울특별시 양천구 신정동 고고PC,126.8627629,37.52834637
65,2020.1.2 16:11,서울특별시 양천구 신월동 디아이빌,126.8285365,37.52345084
68,2020.1.2 16:27,서울특별시 양천구 목동 KB,126.8663038,37.53930436
70,2020.1.2 16:29,서울특별시 양천구 신월동 태양자동문,126.8401875,37.52639126
71,2020.1.2 16:29,서울특별시 양천구 신월동 선경,우편번호없음,x좌표없음
72,2020.1.2 16:30,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937
74,2020.1.2 16:31,서울특별시 양천구 신월동 행복부동산,126.841519,37.51463313
75,2020.1.2 16:32,서울특별시 양천구 신월동 신길운수,126.8382576,37.52961396
76,2020.1.2 16:32,서울특별시 양천구 목동 법안정사,126.8784353,37.53566845
77,2020.1.2 16:32,서울특별시 양천구 신월동 빛고을양천식당,126.8380472,37.52997353
78,2020.1.2 16:32,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264
80,2020.1.2 16:53,서울특별시 양천구 신월동 한백리츠빌,126.831214,37.53460308
81,2020.1.2 16:53,서울특별시 양천구 신월동 위프정수기,126.8454124,37.54399785
82,2020.1.2 16:56,서울특별시 양천구 신월동 모닝글로리,우편번호없음,x좌표없음
85,2020.1.2 16:59,서울특별시 양천구 신월동 청록화랑,126.8366704,37.53251455
91,2020.1.3 7:04,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145
93,2020.1.3 10:01,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471
95,2020.1.3 10:11,서울특별시 양천구 신월6동 세븐일레븐,우편번호없음,x좌표없음
96,2020.1.3 10:12,서울특별시 양천구 목1동 서가앤쿡 목동점,126.8692393,37.52530271
97,2020.1.3 10:15,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293
99,2020.1.3 10:15,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219
101,2020.1.3 10:20,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716
106,2020.1.3 10:32,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393
107,2020.1.3 10:33,서울특별시 양천구 신정동 양천공원,126.8682825,37.51816754
108,2020.1.3 10:35,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015
